GRB,GRB X-ray position,Error,Instrument,redshift,adatok
90812,23h32m47s -10° 36',3,Swift,2.452,14.4574653926
90809,21h54m35s -00° 05',3,Swift,2.737,17.2969929371
90807,18h14m59s +10° 17',3,Swift,NA,NA
90728,01h58m38s +41° 39',3,Swift,NA,NA
90727,21h03m53s +64° 55',3,Swift,NA,NA
90726,16h35m16s +72° 52',3,Swift,2.71,17.4011432446
90720,13h34m47s -10° 20',3,Fermi,NA,NA
090715B,16h45m23s +44° 50',3,Swift,3,17.9069217545
090715S,10h08m29s +10° 00',3,Swift,NA,NA
90712,04h40m25s +22° 33',3,Swift,NA,NA
090709B,06h14m22s +64° 05',3,Swift,NA,NA
90709,19h19m44s +60° 44',3,Swift,NA,NA
90708,10h18m31s +26° 38',3,Swift,NA,NA
90704,13h52m49s +22° 47',1.7,INTEGRAL,NA,NA
90702,11h43m33s +11° 30',3,INTEGRAL,NA,NA
90628,15h48m12s -15° 45',3,Swift,NA,NA
90626,11h20m02s -33° 30',20,Fermi,NA,NA
090625B,00h09m03s -65° 47',3,INTEGRAL,NA,NA
090621BS,20h53m44s +69° 01',3,Swift,NA,NA
90621,00h43m57s +61° 58',3,Swift,NA,NA
90618,19h36m05s +78° 21',3,Swift,0.54,5.5899956705
90607,12h44m50s +44° 08',3,Swift,NA,NA
090531B,16h48m15s -36° 01',3,Swift,NA,NA
90531,11h54m45s +07° 48',3,Swift,NA,NA
90530,11h57m35s +26° 35',3,Swift,1.266,9.8496664616
90529,14h09m54s +24° 26',3,Swift,2.625,16.8435984051
90519,09h29m10s +00° 11',3,Swift,3.85,21.982389047
90518,07h59m44s +00° 46',3,Swift,NA,NA
90516,09h13m05s -11° 51',3,Swift,4.109,24.3075344326
090515S,10h56m41s +14° 27',3,Swift,NA,NA
090510S,22h14m13s -26° 36',3,Swift,0.903,8.3248698028
90509,16h05m37s -28° 24',3,Swift,NA,NA
090429B,14h02m49s +32° 10',3,Swift,9.2,48.637939957
90429,06h02m14s -52° 23',3,Swift,NA,NA
90427,15h43m43s -13° 30',130*9,IPN,NA,NA
090426S,12h36m22s +32° 58',3,Swift,2.609,15.0800258381
90424,12h38m09s +16° 50',3,Swift,0.544,6.6763106261
90423,09h55m35s +18° 07',3,Swift,8.26,44.4368812666
90422,19h39m01s +40° 23',3,Swift,NA,NA
90419,13h07m54s -75° 36',3,Swift,NA,NA
090418B,15h03m38s +17° 13',2,Swift,NA,NA
90418,17h57m20s +33° 25',3,Swift,1.608,10.2397199203
090417B,13h58m49s +47° 00',3,Swift,0.345,5.5552508592
090417S,02h19m59s -07° 11',3,Swift,NA,NA
90410,22h19m55s +15° 28',3,Swift,NA,NA
90407,04h35m50s -12° 40',3,Swift,1.4485,10.8236022719
90404,15h56m52s +35° 30',3,Swift,3,17.2350891746
090401B,06h20m24s -08° 58',3,Swift,NA,NA
90401,23h23m38s +29° 46',3,Swift,NA,NA
90328,06h03m29s -41° 57',9,Fermi,0.736,5.9509526285
90324,17h08m43s -48° 09',3,AGILE,NA,NA
90323,12h42m46s +17° 05',8,Fermi,3.57,21.6093201535
90313,13h13m35s +08° 06',3,Swift,3.375,18.9513019907
90309,18h59m55s -25° 16',3,Swift,NA,NA
90308,12h14m06s -48° 53',3,Swift,NA,NA
90307,16h19m55s -28° 39',3,Swift,NA,NA
090306B,15h24m49s -06° 57',3,Swift,NA,NA
090305S,16h07m02s -31° 34',3,Swift,NA,NA
90301,22h32m34s +26° 39',3,Swift,NA,NA
90217,13h39m36s -08° 24',31,Fermi,NA,NA
90205,14h43m42s -27° 52',3,Swift,4.6497,25.286280949
90201,06h08m07s -46° 35',3,Swift,2.1,13.66813438
90129,17h56m22s -32° 50',3,Swift,NA,NA
90123,00h27m06s -23° 31',3,Swift,NA,NA
90118,03h19m28s +18° 29',3.7,Swift,NA,NA
90117,10h56m01s -58° 15',3,AGILE,NA,NA
90113,02h08m18s +33° 27',3,Swift,1.7493,11.2718674537
90111,16h46m35s +00° 05',3,Swift,NA,NA
090107B,18h59m15s +59° 36',3,INTEGRAL,NA,NA
90107,20h09m42s +04° 44',3,Swift,NA,NA
90102,08h33m02s +33° 05',3,Swift,1.547,11.0621292827
81230,02h29m16s -25° 08',3,Swift,2,12.9742838052
81228,02h37m52s +30° 51',3,Swift,3.44,20.2106541958
081226BS,01h41m51s -47° 25',3,INTEGRAL,NA,NA
081226S,08h02m06s -69° 00',3,Swift,NA,NA
81222,01h31m00s -34° 08',3,Swift,2.77,17.1202182969
81221,01h03m13s -24° 32',3,Swift,2.26,13.4542089577
081211B,11h12m55s +53° 51',7,Swift,NA,NA
81211,21h52m21s -33° 49',3,Swift,NA,NA
81210,04h41m50s -11° 16',3,Swift,2.0631,13.6015265082
81204,23h18m52s -60° 10',3,INTEGRAL,NA,NA
081203B,15h15m10s +44° 26',3,Swift,NA,NA
81203,15h32m08s +63° 30',3,Swift,2.05,12.7289191277
81128,01h23m12s +38° 07',3,Swift,4,22.5784751882
81127,22h08m22s +06° 52',3,Swift,NA,NA
81126,21h34m10s +48° 43',3,Swift,NA,NA
81121,05h57m03s -60° 38',3,Swift,2.512,15.0859126127
81118,05h30m22s -43° 18',3,Swift,2.58,14.9871711404
81109,22h03m09s -54° 43',3,Swift,0.9787,7.9093228177
81105,00h15m52s +03° 27',3,Swift,NA,NA
81104,06h41m56s -54° 44',3,Swift,NA,NA
81102,22h04m44s +53° 00',3,Swift,NA,NA
81029,23h06m49s -68° 10',3,Swift,3.8479,22.9227503271
81028,08h07m34s +02° 19',3,Swift,3.038,17.4389302506
81025,16h21m12s +60° 28',3,Swift,NA,NA
081024B,21h31m36s +21° 12',9.'6,Fermi,NA,NA
81024,01h51m36s +61° 21',3,Swift,NA,NA
81022,15h06m28s +12° 25',3,Swift,NA,NA
81017,15h20m43s -32° 49',3,Swift,NA,NA
081016B,00h58m28s -43° 33',3,Swift,NA,NA
81016,17h02m16s -23° 20',2.'6,INTEGRAL,NA,NA
81012,02h00m52s -17° 38',3,Swift,NA,NA
81011,14h41m27s +33° 36',3,Swift,NA,NA
81008,18h39m57s -57° 28',3,Swift,1.9685,12.8586211624
81007,22h39m54s -40° 08',3,Swift,0.5295,6.6389188738
81003,17h29m30s +16° 34',2,INTEGRAL,NA,NA
81001,18h26m18s -08° 45',3,AGILE,NA,NA
80928,06h20m20s -55° 10',3,Swift,1.692,11.0887149465
80922,18h03m23s -22° 29',2.'7,INTEGRAL,NA,NA
080919S,17h41m09s -42° 24',3',Swift,NA,NA
080916C,07h59m31s -56° 35',10',Fermi,4.35,24.695663386
080916B,10h54m30s +69° 03',3',Swift,NA,NA
80916,22h25m12s -57° 01',3',Swift,0.689,6.3591091747
080915B,14h12m19s -11° 28',3',Swift,NA,NA
80915,01h12m01s -76° 01',3',Swift,NA,NA
80913,04h22m54s -25° 07',3',Swift,6.695,37.1806909205
80906,15h11m34s -80° 29',3',Swift,2.1,14.4860578396
080905B,20h06m53s -62° 34',3',Swift,2.374,14.4992789996
080905S,19h10m39s -18° 53',3',Swift,0.1218,3.1684024677
80903,05h47m11s +51° 20',3',Swift,NA,NA
80828,13h18m31s -65° 56',3',AGILE,NA,NA
080825B,13h57m08s -68° 57',3',AGILE,4.3,25.3930893946
080822B,04h13m59s +25° 45',3',Swift,NA,NA
80810,23h47m07s +00° 19',3',Swift,3.35,20.7235907345
80805,20h56m55s -62° 26',3',Swift,1.505,10.1177903973
80804,21h54m48s -53° 12',3',Swift,2.2045,13.9778594404
80802,18h02m54s -32° 20',3',Swift,NA,NA
080727C,02h10m35s +64° 09',3',Swift,NA,NA
080727B,18h27m29s +01° 10',3',Swift,NA,NA
80727,13h53m33s -18° 33',3',Swift,NA,NA
80726,01h21m35s +13° 55',5',AGILE,NA,NA
80725,08h06m52s -13° 59',3',Swift,NA,NA
080723B,11h47m10s -60° 14',3',INTEGRAL,NA,NA
80723,18h18m03s -06° 55',3',Swift,NA,NA
80721,14h57m53s -11° 43',3',Swift,2.591,16.0399964455
80714,12h32m26s -60° 17',3',Swift,NA,NA
80710,00h33m02s +19° 30',3',Swift,0.845,8.1602824895
80707,02h10m32s +33° 09',3',Swift,1.23,9.3072499492
80703,06h47m28s -63° 13',3',Swift,5.5,30.5414081644
080702B,23h42m24s -05° 29',3',Swift,NA,NA
080702S,20h51m25s +72° 18',3',Swift,NA,NA
80701,03h03m21s +75° 29',3',Swift,NA,NA
80625,19h53m46s +56° 16',3',AGILE,NA,NA
80623,15h50m38s -62° 02',3',Swift,NA,NA
080613B,11h35m11s -07° 06',3',Swift,NA,NA
80613,14h13m01s +05° 09',2.8',INTEGRAL,NA,NA
80607,12h59m52s +15° 54',3',Swift,3.036,18.0828055566
80605,17h28m31s +04° 00',3',Swift,1.6398,11.1099887223
80604,15h47m53s +20° 33',3',Swift,1.416,9.3125966468
080603B,11h46m07s +68° 05',3',Swift,2.69,15.5061296969
80603,18h37m31s +62° 44',3',INTEGRAL,1.688,11.1570776732
80602,01h16m41s -09° 15',3',Swift,1.8204,11.5850697332
80523,01h22m56s -64° 03',3',Swift,3,17.7453967325
80520,18h40m46s -55° 00',3',Swift,1.545,10.4966001486
80517,06h49m01s +50° 44',3',Swift,0.089,4.314516852
80516,08h02m31s -26° 11',3',Swift,NA,NA
080515X,00h12m36s +32° 36',3',Swift,2.47,15.8087278179
080514B,21h31m17s +00° 44',17'*6',AGILE/IPN,1.8,11.3891442972
80507,15h34m53s +56° 25',3',AGILE,NA,NA
80506,21h57m44s +39° 00',3',Swift,NA,NA
080503S,19h06m28s +68° 47',3',Swift,NA,NA
80430,11h01m17s +51° 41',3',Swift,0.767,7.2036605336
80426,01h46m18s +69° 29',3',Swift,NA,NA
80414,18h08m30s -18° 52',2',INTEGRAL,NA,NA
080413B,21h44m32s -19° 58',3',Swift,1.1,9.1212908537
80413,19h09m10s -27° 41',3',Swift,2.433,14.5884158136
80411,02h32m04s -71° 20',3',Swift,1.03,7.2095225076
80409,05h37m20s +05° 05',3',Swift,NA,NA
80408,07h38m43s +33° 18',3',AGILE,NA,NA
80405,10h50m23s -04° 15',3',Swift,NA,NA
80330,11h17m12s +30° 34',3',Swift,1.51,11.3333228818
80328,05h21m55s +47° 31',3',Swift,NA,NA
80325,18h31m35s +36° 31',3',Swift,1.78,12.4730127149
