Helység megnevezése,KSH kódja,jogállása,Megye megnevezése,Járás kódja,Járás neve,Járás székhelye,Közös önkormányzati hivatal kódja,Közös önkormányzati hivatal székhelye,Terület  (hektár),Lakó-népesség,Lakások száma
Lajoskomárom,7506,nagyközség,Fejér,790.0,Enyingi,Enying,1,–,7567,2222,875
Lajosmizse,17677,város,Bács-Kiskun,380.0,Kecskeméti,Kecskemét,2,Helyben – Locally,16466,11342,4858
Lak,15857,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,5,Borsodszirák,1976,679,206
Lakhegy,33792,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Egervár,858,434,205
Lakitelek,6202,nagyközség,Bács-Kiskun,440.0,Tiszakécskei,Tiszakécske,1,–,5466,4406,2041
Lakócsa,11040,község,Somogy,1400.0,Barcsi,Barcs,5,Darány,2532,537,249
Lánycsók,33330,község,Baranya,270.0,Mohácsi,Mohács,2,Helyben – Locally,2540,2397,866
Lápafő,14605,község,Tolna,1710.0,Dombóvári,Dombóvár,6,Dombóvár,931,164,85
Lapáncsa,6479,község,Baranya,310.0,Siklósi,Siklós,6,Nagyharsány,436,190,75
Laskod,21290,község,Szabolcs-Szatmár-Bereg,1480.0,Baktalórántházai,Baktalórántháza,6,Baktalórántháza,1359,955,402
Lasztonya,3434,község,Zala,1950.0,Letenyei,Letenye,6,Bázakerettye,877,73,56
Látrány,14863,község,Somogy,1420.0,Fonyódi,Fonyód,2,Helyben – Locally,2231,1346,585
Lázi,4376,község,Győr-Moson-Sopron,900.0,Pannonhalmi,Pannonhalma,5,Écs,1678,575,234
Leányfalu,30809,nagyközség,Pest,1350.0,Szentendrei,Szentendre,1,–,1537,3557,1406
Leányvár,25487,község,Komárom-Esztergom,1100.0,Esztergomi,Esztergom,6,Piliscsév,726,1739,632
Lébény,33668,város,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,2,Helyben – Locally,8139,3229,1247
Legénd,30395,község,Nógrád,1190.0,Rétsági,Rétság,6,Nézsa,1841,453,250
Legyesbénye,11660,község,Borsod-Abaúj-Zemplén,660.0,Szerencsi,Szerencs,6,Bekecs,2031,1461,626
Léh,3531,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,5,Kázsmárk,845,391,150
Lénárddaróc,7038,község,Borsod-Abaúj-Zemplén,620.0,Ózdi,Ózd,6,Nekézseny,516,254,158
Lendvadedes,27483,község,Zala,1940.0,Lenti,Lenti,6,Rédics,402,28,20
Lendvajakabfa,11475,község,Zala,1940.0,Lenti,Lenti,6,Rédics,618,21,45
Lengyel,24411,község,Tolna,1700.0,Bonyhádi,Bonyhád,5,Tevel,2003,532,240
Lengyeltóti,26675,város,Somogy,1420.0,Fonyódi,Fonyód,2,Helyben – Locally,3957,2952,1198
Lenti,12575,város,Zala,1941.0,Lenti,Lenti,1,–,7380,7756,3532
Lepsény,7269,nagyközség,Fejér,790.0,Enyingi,Enying,2,Helyben – Locally,3908,2981,1213
Lesencefalu,17570,község,Veszprém,1890.0,Tapolcai,Tapolca,6,Lesencetomaj,718,311,154
Lesenceistvánd,21962,község,Veszprém,1890.0,Tapolcai,Tapolca,2,Helyben – Locally,1738,952,388
Lesencetomaj,17871,község,Veszprém,1890.0,Tapolcai,Tapolca,2,Helyben – Locally,2408,1116,383
Létavértes,5768,város,Hajdú-Bihar,960.0,Derecskei,Derecske,2,Helyben – Locally,11661,7108,2668
Letenye,12122,város,Zala,1951.0,Letenyei,Letenye,2,Helyben – Locally,4174,4060,1594
Letkés,22682,község,Pest,1370.0,Szobi,Szob,6,Márianosztra,2455,1119,433
Levél,19239,község,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,6,Hegyeshalom,2492,1837,711
Levelek,30979,nagyközség,Szabolcs-Szatmár-Bereg,1480.0,Baktalórántházai,Baktalórántháza,2,Helyben – Locally,2573,2956,956
Libickozma,32355,község,Somogy,1440.0,Marcali,Marcali,6,Pusztakovácsi,2297,28,47
Lickóvadamos,3054,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Gellénháza,669,180,125
Liget,17604,község,Baranya,260.0,Komlói,Komló,6,Magyarszék,1207,381,142
Ligetfalva,28200,község,Zala,1930.0,Keszthelyi,Keszthely,6,Zalacsány,473,51,32
Lipót,16221,község,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,5,Darnózseli,1609,711,269
Lippó,22974,község,Baranya,270.0,Mohácsi,Mohács,6,Nagynyárád,1453,473,206
Liptód,10038,község,Baranya,240.0,Bólyi,Bóly,5,Babarc,1499,187,132
Lispeszentadorján,10889,község,Zala,1950.0,Letenyei,Letenye,6,Bázakerettye,914,278,171
Liszó,25025,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,6,Surd,2591,380,167
Litér,4552,község,Veszprém,1840.0,Balatonalmádi,Balatonalmádi,2,Helyben – Locally,1283,2174,747
Litka,28219,község,Borsod-Abaúj-Zemplén,560.0,Encsi,Encs,6,Szalaszend,666,32,46
Litke,4871,község,Nógrád,1200.0,Salgótarjáni,Salgótarján,5,Mihálygerge,1816,857,340
Lócs,29081,község,Vas,1780.0,Kőszegi,Kőszeg,6,Csepreg,513,130,103
Lókút,18856,község,Veszprém,1920.0,Zirci,Zirc,6,Zirc,1811,408,202
Lónya,26091,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,6,Tiszakerecseny,3548,1076,394
Lórév,9140,község,Pest,1340.0,Ráckevei,Ráckeve,6,Szigetbecse,988,293,129
Lothárd,31389,község,Baranya,280.0,Pécsi,Pécs,6,Pécsudvard,1046,225,110
Lovas,5564,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,6,Alsóörs,595,456,182
Lovasberény,19114,község,Fejér,850.0,Székesfehérvári,Székesfehérvár,1,–,6062,2560,1143
Lovászhetény,24624,község,Baranya,290.0,Pécsváradi,Pécsvárad,6,Pécsvárad,895,300,113
Lovászi,28167,község,Zala,1940.0,Lenti,Lenti,2,Helyben – Locally,967,1196,584
Lovászpatona,5087,község,Veszprém,1870.0,Pápai,Pápa,5,Ugod,4990,1099,512
Lőkösháza,21209,község,Békés,480.0,Gyulai,Gyula,5,Elek,5202,1743,825
Lőrinci,30401,város,Heves,1070.0,Hatvani,Hatvan,1,–,2353,5446,2326
Lövő,31194,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,2,Helyben – Locally,1747,1408,555
Lövőpetri,7995,község,Szabolcs-Szatmár-Bereg,1530.0,Kisvárdai,Kisvárda,6,Pap,926,474,220
Lucfalva,20190,község,Nógrád,1200.0,Salgótarjáni,Salgótarján,2,Helyben – Locally,1410,595,226
Ludányhalászi,2778,község,Nógrád,1210.0,Szécsényi,Szécsény,2,Helyben – Locally,2113,1430,492
Ludas,15796,község,Heves,1060.0,Gyöngyösi,Gyöngyös,5,Nagyfüged,1079,732,378
Lukácsháza,14021,község,Vas,1780.0,Kőszegi,Kőszeg,2,Helyben – Locally,935,1093,387
Lulla,10010,község,Somogy,1470.0,Tabi,Tab,6,Tab,1039,178,94
Lúzsok,18865,község,Baranya,300.0,Sellyei,Sellye,6,Hirics,652,236,71
Mád,3902,község,Borsod-Abaúj-Zemplén,660.0,Szerencsi,Szerencs,1,–,3186,2152,1142
Madaras,23357,község,Bács-Kiskun,340.0,Bácsalmási,Bácsalmás,1,–,4931,2823,1469
Madocsa,29337,község,Tolna,1720.0,Paksi,Paks,6,Bölcske,4333,1890,832
Maglóca,26444,község,Győr-Moson-Sopron,860.0,Csornai,Csorna,5,Bősárkány,577,96,53
Maglód,10922,város,Pest,1390.0,Vecsési,Vecsés,1,–,2238,12037,4452
Mágocs,6813,város,Baranya,250.0,Hegyháti,Sásd,2,Helyben – Locally,4254,2316,949
Magosliget,29984,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,6,Méhtelek,517,346,89
Magy,16629,község,Szabolcs-Szatmár-Bereg,1480.0,Baktalórántházai,Baktalórántháza,5,Ramocsaháza,2070,922,320
Magyaralmás,27678,község,Fejér,820.0,Móri,Mór,5,Fehérvárcsurgó,2242,1539,603
Magyaratád,10427,község,Somogy,1430.0,Kaposvári,Kaposvár,2,Helyben – Locally,1882,755,323
Magyarbánhegyes,27906,község,Békés,490.0,Mezőkovácsházai,Mezőkovácsháza,1,–,3656,2280,1101
Magyarbóly,25177,község,Baranya,310.0,Siklósi,Siklós,6,Nagyharsány,1722,930,369
Magyarcsanád,5962,község,Csongrád,730.0,Makói,Makó,2,Helyben – Locally,4802,1406,708
Magyardombegyház,11536,község,Békés,490.0,Mezőkovácsházai,Mezőkovácsháza,6,Kevermes,765,223,161
Magyaregregy,29753,község,Baranya,260.0,Komlói,Komló,6,Egyházaskozár,2681,714,328
Magyaregres,25371,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Juta,1440,584,215
Magyarföld,8916,község,Zala,1940.0,Lenti,Lenti,6,Csesztreg,889,35,29
Magyargéc,26967,község,Nógrád,1210.0,Szécsényi,Szécsény,5,Nagylóc,1235,873,294
Magyargencs,26374,község,Veszprém,1870.0,Pápai,Pápa,6,Nemesgörzsöny,3801,491,268
Magyarhertelend,5430,község,Baranya,260.0,Komlói,Komló,6,Magyarszék,1616,615,264
Magyarhomorog,3683,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,6,Körösszegapáti,3957,899,438
Magyarkeresztúr,13912,község,Győr-Moson-Sopron,860.0,Csornai,Csorna,6,Rábatamási,1674,431,215
Magyarkeszi,6017,község,Tolna,1740.0,Tamási,Tamási,2,Helyben – Locally,3816,1214,614
Magyarlak,3221,község,Vas,1800.0,Szentgotthárdi,Szentgotthárd,5,Csörötnek,762,752,304
Magyarlukafa,23542,község,Baranya,330.0,Szigetvári,Szigetvár,5,Mozsgó,1297,90,49
Magyarmecske,5412,község,Baranya,300.0,Sellyei,Sellye,6,Csányoszró,1195,336,112
Magyarnádalja,27289,község,Vas,1770.0,Körmendi,Körmend,6,Vasalja,385,193,87
Magyarnándor,32407,község,Nógrád,1160.0,Balassagyarmati,Balassagyarmat,2,Helyben – Locally,1867,1071,466
Magyarpolány,20437,község,Veszprém,1830.0,Ajkai,Ajka,2,Helyben – Locally,2697,1144,517
Magyarsarlós,27067,község,Baranya,280.0,Pécsi,Pécs,6,Nagykozár,803,260,109
Magyarszecsőd,17288,község,Vas,1770.0,Körmendi,Körmend,6,Molnaszecsőd,1126,433,188
Magyarszék,22600,község,Baranya,260.0,Komlói,Komló,2,Helyben – Locally,1386,994,385
Magyarszentmiklós,2909,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,5,Újudvar,419,248,102
Magyarszerdahely,13064,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,5,Hahót,1622,510,164
Magyarszombatfa,25423,község,Vas,1770.0,Körmendi,Körmend,6,Őriszentpéter,1594,250,134
Magyartelek,4385,község,Baranya,300.0,Sellyei,Sellye,6,Csányoszró,684,208,71
Majosháza,10755,község,Pest,1360.0,Szigetszentmiklósi,Szigetszentmiklós,6,Dunavarsány,1142,1555,619
Majs,27863,község,Baranya,270.0,Mohácsi,Mohács,5,Lánycsók,3206,932,393
Makád,4394,község,Pest,1340.0,Ráckevei,Ráckeve,6,Szigetbecse,3177,1144,533
Makkoshotyka,19600,község,Borsod-Abaúj-Zemplén,640.0,Sárospataki,Sárospatak,5,Vajdácska,1041,838,291
Maklár,27696,község,Heves,1040.0,Egri,Eger,2,Helyben – Locally,2801,2331,972
Makó,7357,város,Csongrád,731.0,Makói,Makó,1,–,22923,22747,11262
Malomsok,3610,község,Veszprém,1870.0,Pápai,Pápa,6,Marcaltő,2574,479,241
Mályi,27395,község,Borsod-Abaúj-Zemplén,610.0,Miskolci,Miskolc,1,–,1128,3929,1514
Mályinka,14915,község,Borsod-Abaúj-Zemplén,580.0,Kazincbarcikai,Kazincbarcika,6,Bánhorváti,2421,429,250
Mánd,2088,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,6,Nagyszekeres,517,279,107
Mándok,17826,város,Szabolcs-Szatmár-Bereg,1600.0,Záhonyi,Záhony,1,–,2891,4094,1459
Mánfa,33923,község,Baranya,260.0,Komlói,Komló,6,Komló,2770,732,320
Mány,23490,község,Fejér,770.0,Bicskei,Bicske,2,Helyben – Locally,4472,2453,860
Maráza,29920,község,Baranya,270.0,Mohácsi,Mohács,6,Himesháza,970,179,105
Marcalgergelyi,29294,község,Veszprém,1870.0,Pápai,Pápa,6,Nemesszalók,776,364,174
Marcali,18500,város,Somogy,1441.0,Marcali,Marcali,2,Helyben – Locally,10440,11352,5166
Marcaltő,22220,község,Veszprém,1870.0,Pápai,Pápa,2,Helyben – Locally,2209,731,334
Márfa,9450,község,Baranya,310.0,Siklósi,Siklós,6,Harkány,409,184,75
Máriahalom,22637,község,Komárom-Esztergom,1100.0,Esztergomi,Esztergom,6,Dág,1085,569,284
Máriakálnok,12283,község,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,6,Halászi,1548,1835,629
Máriakéménd,14483,község,Baranya,240.0,Bólyi,Bóly,6,Szederkény,1578,489,213
Márianosztra,4570,község,Pest,1370.0,Szobi,Szob,2,Helyben – Locally,2026,837,383
Máriapócs,19655,város,Szabolcs-Szatmár-Bereg,1560.0,Nyírbátori,Nyírbátor,2,Helyben – Locally,2209,2136,723
Markaz,16540,község,Heves,1060.0,Gyöngyösi,Gyöngyös,2,Helyben – Locally,2561,1763,809
Márkháza,14641,község,Nógrád,1200.0,Salgótarjáni,Salgótarján,6,Lucfalva,631,274,113
Márkó,32212,község,Veszprém,1910.0,Veszprémi,Veszprém,2,Helyben – Locally,3441,1251,436
Markóc,16443,község,Baranya,300.0,Sellyei,Sellye,6,Sellye,579,56,30
Markotabödöge,6770,község,Győr-Moson-Sopron,860.0,Csornai,Csorna,6,Kóny,1629,478,236
Maróc,2103,község,Zala,1950.0,Letenyei,Letenye,6,Bázakerettye,516,71,70
Marócsa,15219,község,Baranya,300.0,Sellyei,Sellye,6,Sellye,1138,83,49
Márok,20659,község,Baranya,310.0,Siklósi,Siklós,6,Nagyharsány,1593,416,183
Márokföld,31981,község,Zala,1940.0,Lenti,Lenti,6,Csesztreg,744,38,40
Márokpapi,33224,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,5,Tarpa,2118,581,222
Maroslele,10515,község,Csongrád,730.0,Makói,Makó,1,–,4656,2020,937
Mártély,25733,község,Csongrád,710.0,Hódmezővásárhelyi,Hódmezővásárhely,5,Hódmezővásárhely,3645,1295,574
Martfű,2626,város,Jász-Nagykun-Szolnok,1670.0,Szolnoki,Szolnok,1,–,2308,6237,2931
Martonfa,2228,község,Baranya,290.0,Pécsváradi,Pécsvárad,6,Pécsvárad,569,201,84
Martonvásár,4659,város,Fejér,811.0,Martonvásári,Martonvásár,1,–,3125,5592,2109
Martonyi,2024,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,5,Szalonna,1757,409,185
Mátészalka,18874,város,Szabolcs-Szatmár-Bereg,1541.0,Mátészalkai,Mátészalka,1,–,4140,16864,7114
Mátételke,27809,község,Bács-Kiskun,340.0,Bácsalmási,Bácsalmás,6,Bácsalmás,2793,486,281
Mátraballa,19965,község,Heves,1090.0,Pétervásárai,Pétervására,5,Mátraderecske,2636,764,429
Mátraderecske,14872,község,Heves,1090.0,Pétervásárai,Pétervására,2,Helyben – Locally,1399,1935,998
Mátramindszent,20075,község,Nógrád,1170.0,Bátonyterenyei,Bátonyterenye,2,Helyben – Locally,1673,816,452
Mátranovák,19372,község,Nógrád,1170.0,Bátonyterenyei,Bátonyterenye,5,Mátraterenye,2697,1653,1054
Mátraszele,24332,község,Nógrád,1200.0,Salgótarjáni,Salgótarján,2,Helyben – Locally,1697,913,468
Mátraszentimre,29045,község,Heves,1060.0,Gyöngyösi,Gyöngyös,5,Gyöngyössolymos,2129,426,287
Mátraszőlős,4330,község,Nógrád,1180.0,Pásztói,Pásztó,2,Helyben – Locally,2917,1536,670
Mátraterenye,33525,község,Nógrád,1170.0,Bátonyterenyei,Bátonyterenye,2,Helyben – Locally,2813,1836,885
Mátraverebély,30100,község,Nógrád,1170.0,Bátonyterenyei,Bátonyterenye,2,Helyben – Locally,1840,1897,851
Mátyásdomb,16948,község,Fejér,790.0,Enyingi,Enying,5,Kisláng,3539,752,288
Matty,15051,község,Baranya,310.0,Siklósi,Siklós,6,Siklós,1690,315,145
Mátyus,20668,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,5,Tiszakerecseny,1103,296,141
Máza,33756,község,Baranya,260.0,Komlói,Komló,6,Egyházaskozár,1069,1172,486
Mecseknádasd,13444,község,Baranya,290.0,Pécsváradi,Pécsvárad,2,Helyben – Locally,3608,1497,635
Mecsekpölöske,11402,község,Baranya,260.0,Komlói,Komló,6,Magyarszék,731,368,156
Mecsér,27359,község,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,5,Lébény,2109,590,285
Medgyesbodzás,20765,község,Békés,490.0,Mezőkovácsházai,Mezőkovácsháza,6,Nagykamarás,3167,1026,586
Medgyesegyháza,30128,város,Békés,490.0,Mezőkovácsházai,Mezőkovácsháza,1,–,6429,3527,1828
Medina,30562,község,Tolna,1730.0,Szekszárdi,Szekszárd,6,Kölesd,2224,795,334
Megyaszó,21768,község,Borsod-Abaúj-Zemplén,660.0,Szerencsi,Szerencs,2,Helyben – Locally,5342,2683,865
Megyehíd,30872,község,Vas,1790.0,Sárvári,Sárvár,6,Ikervár,599,325,124
Megyer,4987,község,Veszprém,1880.0,Sümegi,Sümeg,6,Gógánfa,426,21,21
Meggyeskovácsi,25760,község,Vas,1790.0,Sárvári,Sárvár,6,Nyőgér,2464,707,338
Méhkerék,23931,község,Békés,510.0,Sarkadi,Sarkad,2,Helyben – Locally,2585,2061,865
Méhtelek,29799,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,2,Helyben – Locally,862,755,274
Mekényes,30492,község,Baranya,250.0,Hegyháti,Sásd,6,Mágocs,1777,284,142
Mélykút,16018,város,Bács-Kiskun,360.0,Jánoshalmai,Jánoshalma,1,–,12347,4841,2781
Mencshely,27137,község,Veszprém,1910.0,Veszprémi,Veszprém,6,Nagyvázsony,1261,230,111
Mende,3692,község,Pest,1310.0,Nagykátai,Nagykáta,1,–,2715,4189,1501
Méra,25618,község,Borsod-Abaúj-Zemplén,560.0,Encsi,Encs,2,Helyben – Locally,1511,1727,576
Merenye,7737,község,Baranya,330.0,Szigetvári,Szigetvár,6,Nagydobsza,1447,249,121
Mérges,20385,község,Győr-Moson-Sopron,920.0,Téti,Tét,6,Tét,651,85,53
Mérk,7463,nagyközség,Szabolcs-Szatmár-Bereg,1540.0,Mátészalkai,Mátészalka,2,Helyben – Locally,2508,2132,800
Mernye,23630,község,Somogy,1430.0,Kaposvári,Kaposvár,2,Helyben – Locally,2593,1284,548
Mersevát,14809,község,Vas,1760.0,Celldömölki,Celldömölk,6,Celldömölk,1054,576,234
Mesterháza,31875,község,Vas,1790.0,Sárvári,Sárvár,6,Bő,419,148,80
Mesteri,15723,község,Vas,1760.0,Celldömölki,Celldömölk,6,Celldömölk,1169,272,132
Mesterszállás,30234,község,Jász-Nagykun-Szolnok,1660.0,Mezőtúri,Mezőtúr,6,Mezőtúr,4292,675,382
Meszes,11758,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,5,Szalonna,1140,175,117
Meszlen,32832,község,Vas,1810.0,Szombathelyi,Szombathely,6,Nemesbőd,1202,205,96
Mesztegnyő,16106,község,Somogy,1440.0,Marcali,Marcali,2,Helyben – Locally,4471,1369,565
Mezőberény,19628,város,Békés,450.0,Békési,Békés,1,–,11853,10148,4519
Mezőcsát,13833,város,Borsod-Abaúj-Zemplén,591.0,Mezőcsáti,Mezőcsát,2,Helyben – Locally,10308,5826,2436
Mezőcsokonya,30854,község,Somogy,1430.0,Kaposvári,Kaposvár,5,Somogysárd,3078,1166,449
Meződ,3470,község,Baranya,250.0,Hegyháti,Sásd,6,Sásd,1041,129,69
Mezőfalva,17552,nagyközség,Fejér,780.0,Dunaújvárosi,Dunaújváros,1,–,8042,4697,1810
Mezőgyán,4206,község,Békés,510.0,Sarkadi,Sarkad,6,Geszt,5987,1052,501
Mezőhegyes,11873,város,Békés,490.0,Mezőkovácsházai,Mezőkovácsháza,1,–,15544,5274,2874
Mezőhék,26286,község,Jász-Nagykun-Szolnok,1660.0,Mezőtúri,Mezőtúr,5,Mezőtúr,8982,361,164
Mezőkeresztes,11323,város,Borsod-Abaúj-Zemplén,600.0,Mezőkövesdi,Mezőkövesd,1,–,7426,3746,1663
Mezőkomárom,5689,község,Fejér,790.0,Enyingi,Enying,5,Dég,2905,922,410
Mezőkovácsháza,30322,város,Békés,491.0,Mezőkovácsházai,Mezőkovácsháza,1,–,6259,6059,2925
Mezőkövesd,19433,város,Borsod-Abaúj-Zemplén,601.0,Mezőkövesdi,Mezőkövesd,2,Helyben – Locally,10049,16310,7556
Mezőladány,32656,község,Szabolcs-Szatmár-Bereg,1530.0,Kisvárdai,Kisvárda,2,Helyben – Locally,1407,1132,355
Mezőlak,23560,község,Veszprém,1870.0,Pápai,Pápa,6,Nemesgörzsöny,2158,971,393
Mezőnagymihály,18379,község,Borsod-Abaúj-Zemplén,600.0,Mezőkövesdi,Mezőkövesd,6,Szentistván,6186,1016,502
Mezőnyárád,11749,község,Borsod-Abaúj-Zemplén,600.0,Mezőkövesdi,Mezőkövesd,2,Helyben – Locally,1406,1594,686
Mezőörs,12812,község,Győr-Moson-Sopron,870.0,Győri,Győr,5,Pér,4848,965,343
Mezőpeterd,31033,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,5,Körösszegapáti,1823,594,261
Mezősas,18847,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,5,Körösszegapáti,2639,648,303
Mezőszemere,25089,község,Heves,1050.0,Füzesabonyi,Füzesabony,6,Mezőtárkány,2148,1114,605
Mezőszentgyörgy,6576,község,Fejér,790.0,Enyingi,Enying,6,Lepsény,2712,1291,458
Mezőszilas,29036,község,Fejér,840.0,Sárbogárdi,Sárbogárd,2,Helyben – Locally,6497,2069,819
Mezőtárkány,31662,község,Heves,1050.0,Füzesabonyi,Füzesabony,2,Helyben – Locally,4061,1587,701
Mezőtúr,4260,város,Jász-Nagykun-Szolnok,1661.0,Mezőtúri,Mezőtúr,2,Helyben – Locally,28972,16502,7769
Mezőzombor,3443,község,Borsod-Abaúj-Zemplén,660.0,Szerencsi,Szerencs,1,–,3879,2459,865
Miháld,27526,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,6,Nagyrécse,2164,757,359
Mihályfa,2130,község,Zala,1980.0,Zalaszentgróti,Zalaszentgrót,6,Óhíd,1207,350,175
Mihálygerge,13222,község,Nógrád,1200.0,Salgótarjáni,Salgótarján,2,Helyben – Locally,1106,565,308
Mihályháza,4668,község,Veszprém,1870.0,Pápai,Pápa,6,Nemesszalók,2152,774,311
Mihályi,21980,község,Győr-Moson-Sopron,880.0,Kapuvári,Kapuvár,2,Helyben – Locally,1628,1025,460
Mike,20905,község,Somogy,1430.0,Kaposvári,Kaposvár,2,Helyben – Locally,3241,609,251
Mikebuda,24466,község,Pest,1240.0,Ceglédi,Cegléd,6,Albertirsa,4217,674,298
Mikekarácsonyfa,22141,község,Zala,1940.0,Lenti,Lenti,6,Csömödér,850,282,144
Mikepércs,24217,község,Hajdú-Bihar,960.0,Derecskei,Derecske,1,–,3693,4576,1560
Miklósi,33376,község,Somogy,1470.0,Tabi,Tab,6,Törökkoppány,1047,203,120
Mikófalva,31282,község,Heves,1030.0,Bélapátfalvai,Bélapátfalva,5,Balaton,1441,704,322
Mikóháza,24253,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,2,Helyben – Locally,1691,519,239
Mikosszéplak,30599,község,Vas,1820.0,Vasvári,Vasvár,6,Oszkó,1866,297,146
Milejszeg,2662,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Gellénháza,908,328,153
Milota,31750,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,5,Tiszakóród,1539,958,316
Mindszent,21555,város,Csongrád,710.0,Hódmezővásárhelyi,Hódmezővásárhely,1,–,5935,6674,3165
Mindszentgodisa,16285,község,Baranya,250.0,Hegyháti,Sásd,2,Helyben – Locally,2297,836,359
Mindszentkálla,4534,község,Veszprém,1890.0,Tapolcai,Tapolca,6,Kővágóörs,1084,228,111
Misefa,4756,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Nagykapornak,651,271,119
Miske,30632,község,Bács-Kiskun,370.0,Kalocsai,Kalocsa,2,Helyben – Locally,4227,1646,737
Miskolc,30456,"megyeszékhely, megyei jogú város",Borsod-Abaúj-Zemplén,611.0,Miskolci,Miskolc,1,–,23667,158101,76770
Miszla,2811,község,Tolna,1740.0,Tamási,Tamási,6,Gyönk,3472,267,190
Mocsa,26930,község,Komárom-Esztergom,1120.0,Komáromi,Komárom,2,Helyben – Locally,6720,2095,824
Mogyoród,17783,nagyközség,Pest,1280.0,Gödöllői,Gödöllő,1,–,3448,6560,2368
Mogyorósbánya,28255,község,Komárom-Esztergom,1100.0,Esztergomi,Esztergom,6,Tát,732,832,310
Mogyoróska,10968,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Telkibánya,1917,80,107
Moha,25715,község,Fejér,850.0,Székesfehérvári,Székesfehérvár,5,Sárkeresztes,988,597,230
Mohács,23959,város,Baranya,271.0,Mohácsi,Mohács,1,–,11223,17355,8423
Mohora,27915,község,Nógrád,1160.0,Balassagyarmati,Balassagyarmat,5,Cserhátsurány,1595,956,382
Molnári,21014,község,Zala,1950.0,Letenyei,Letenye,5,Semjénháza,1286,705,269
Molnaszecsőd,3294,község,Vas,1770.0,Körmendi,Körmend,2,Helyben – Locally,1169,406,180
Molvány,29522,község,Baranya,330.0,Szigetvári,Szigetvár,6,Nagydobsza,1376,189,80
Monaj,9016,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,6,Homrogd,1153,241,103
Monok,7825,község,Borsod-Abaúj-Zemplén,660.0,Szerencsi,Szerencs,5,Rátka,4196,1577,799
Monor,10551,város,Pest,1301.0,Monori,Monor,1,–,4679,17960,6813
Monorierdő,34397,község,Pest,1300.0,Monori,Monor,1,–,1507,4139,1587
Mónosbél,31565,község,Heves,1030.0,Bélapátfalvai,Bélapátfalva,6,Bélapátfalva,1378,363,146
Monostorapáti,24040,község,Veszprém,1890.0,Tapolcai,Tapolca,2,Helyben – Locally,2559,1115,487
Monostorpályi,25894,község,Hajdú-Bihar,960.0,Derecskei,Derecske,1,–,4444,2089,956
Monoszló,22512,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,6,Zánka,746,106,59
Monyoród,16027,község,Baranya,240.0,Bólyi,Bóly,6,Szederkény,712,152,92
Mór,18485,város,Fejér,821.0,Móri,Mór,1,–,10861,14010,5705
Mórágy,20701,község,Tolna,1700.0,Bonyhádi,Bonyhád,5,Bátaapáti,1761,718,284
Mórahalom,4349,város,Csongrád,741.0,Mórahalmi,Mórahalom,1,–,8314,6017,2718
Móricgát,34096,község,Bács-Kiskun,420.0,Kiskunmajsai,Kiskunmajsa,5,Jászszentlászló,3289,429,320
Mórichida,2556,község,Győr-Moson-Sopron,920.0,Téti,Tét,6,Gyarmat,3230,813,356
